Comment,Description,Designator,Footprint,LibRef,Quantity

"10000 pF","CAP CER 10000PF 100V X7R 0603","C1","CAP 0603_1608","AC0603KRX7R0BB103","1"
"1 µF","CAP CER 1UF 50V X5R 0603","C2","CAP 0603_1608","UMK107ABJ105MAHT","1"
"0.1 µF","CAP CER 0.1UF 50V X7R 0603","C3, C4","CAP 0603_1608","C0603C104K5RAC7411","2"
"15 µF","CAP CER 15UF 6.3V X5R 0603","C5","CAP 0603_1608","C1608X5R0J156M080AC","1"
"MURA110T3G","DIODE GEN PURP 100V 2A SMA","D1","DO214AC SMA","MURA110T3G","1"
"LM5008MMX/NOPB","IC REG BUCK ADJ 350MA 8VSSOP","IC1","TI VSSOP-8 DGK","LM5008MMX/NOPB","1"
"282837-2","TERM BLK 2P SIDE ENT 5.08MM PCB","J1, J2","TE 282837-2","282837-2","2"
"39 µH","FIXED IND 39UH 3.2A 70 MOHM SMD","L1","BOURNS SRR1280","SRR1280-390M","1"
"1 kOhms","RES SMD 1K OHM 0.5% 1/10W 0603","R1, R4","RES 0603_1608","AT0603DRD071KL","2"
"2 Ohms","SULFUR TOLERANT CHIP RESISTORS","R2","RES 0603_1608","SFR03EZPJ2R0","1"
"76.8 kOhms","RES SMD 76.8KOHM 0.1% 1/10W 0603","R3","RES 0603_1608","RG1608P-7682-B-T5","1"
"267 kOhms","RES SMD 267K OHM 0.1% 1/10W 0603","R5","RES 0603_1608","RT0603BRD07267KL","1"
